idx,pair,side,entry_time,exit_time,entry,exit_price,initial_sl,initial_tp,lot,pnl,pnl_pct,confidence,signal_reason,regime,session,exit_reason,duration_bars,mfe,mae,balance_after
94,XAUUSD,buy,2025-03-20T19:00:00+00:00,2025-03-21T01:45:00+00:00,3043.865,3038.09597,3038.09597,3053.48005,0.15,-86.54,-0.96,0.69,EMA(21)↑55 cross · RSI 57.5 · regime ranging,ranging,london,sl_hit,23,51.0,-122.85,8926.48
95,XAUUSD,sell,2025-03-21T02:00:00+00:00,2025-03-21T04:00:00+00:00,3035.275,3029.12423,3038.96546,3029.12423,0.24,147.62,1.654,0.82,EMA(21)↓55 cross · RSI 29.4 · regime ranging,ranging,london,tp_hit,8,150.96,-7.44,9074.1
96,XAUUSD,sell,2025-03-21T04:15:00+00:00,2025-03-21T05:30:00+00:00,3030.298,3024.49247,3033.78132,3024.49247,0.26,150.94,1.663,0.67,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 25.1",trending_down,london,tp_hit,5,233.82,-36.84,9225.04
97,XAUUSD,sell,2025-03-21T05:45:00+00:00,2025-03-21T06:00:00+00:00,3027.865,3032.13699,3032.13699,3020.74502,0.21,-89.71,-0.972,0.66,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 32.9",trending_down,london,sl_hit,1,12.39,-97.02,9135.33
98,XAUUSD,sell,2025-03-21T06:15:00+00:00,2025-03-21T11:45:00+00:00,3031.165,3035.52113,3035.52113,3023.90479,0.2,-87.12,-0.954,0.6,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 44.0",trending_down,london,sl_hit,22,85.2,-125.46,9048.21
99,XAUUSD,sell,2025-03-21T13:15:00+00:00,2025-03-21T13:30:00+00:00,3029.665,3020.67039,3035.06177,3020.67039,0.16,143.91,1.591,0.56,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 43.0",ranging,london,tp_hit,1,258.4,-2.4,9192.12
100,XAUUSD,sell,2025-03-21T13:45:00+00:00,2025-03-21T14:45:00+00:00,3006.348,3013.93477,3013.93477,2993.70339,0.12,-91.04,-0.99,0.67,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 20.2",trending_down,london,sl_hit,4,84.96,-124.8,9101.08
101,XAUUSD,sell,2025-03-21T15:00:00+00:00,2025-03-21T20:15:00+00:00,3013.735,3022.13,3022.13,2999.74334,0.1,-83.95,-0.922,0.63,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 37.6",trending_down,london,sl_hit,21,39.4,-93.3,9017.13
102,XAUUSD,sell,2025-03-24T00:30:00+00:00,2025-03-24T01:30:00+00:00,3021.195,3025.08242,3025.08242,3014.71597,0.23,-89.41,-0.992,0.53,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 47.3",ranging,london,sl_hit,4,98.9,-98.9,8927.72
103,XAUUSD,sell,2025-03-24T01:45:00+00:00,2025-03-24T06:45:00+00:00,3020.685,3025.33697,3025.33697,3012.93172,0.19,-88.39,-0.99,0.53,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 47.5",ranging,london,sl_hit,20,136.99,-92.34,8839.33
104,XAUUSD,buy,2025-03-24T07:30:00+00:00,2025-03-24T09:00:00+00:00,3022.475,3030.04929,3017.93043,3030.04929,0.19,143.91,1.628,0.64,EMA(21)↑55 cross · RSI 52.3 · regime ranging,ranging,london,tp_hit,6,160.74,-32.3,8983.24
105,XAUUSD,buy,2025-03-24T09:15:00+00:00,2025-03-24T09:30:00+00:00,3029.008,3024.49276,3024.49276,3036.5334,0.19,-85.79,-0.955,0.63,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 62.5",trending_up,london,sl_hit,1,10.2,-101.33,8897.46
106,XAUUSD,buy,2025-03-24T10:00:00+00:00,2025-03-24T12:45:00+00:00,3027.625,3022.75016,3022.75016,3035.74974,0.18,-87.75,-0.986,0.61,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 57.1",trending_up,london,sl_hit,11,99.18,-97.2,8809.71
107,XAUUSD,buy,2025-03-24T13:00:00+00:00,2025-03-24T13:30:00+00:00,3027.275,3022.59183,3022.59183,3035.08029,0.18,-84.3,-0.957,0.62,Pullback to EMA21 in uptrend · RSI 53.8,trending_up,london,sl_hit,2,14.04,-117.18,8725.41
108,XAUUSD,sell,2025-03-24T14:30:00+00:00,2025-03-25T05:00:00+00:00,3010.395,3016.80696,3016.80696,2999.7084,0.13,-83.36,-0.955,0.82,EMA(21)↓55 cross · RSI 29.4 · regime ranging,ranging,london,sl_hit,54,107.25,-109.85,8642.06
109,XAUUSD,buy,2025-03-25T05:15:00+00:00,2025-03-25T06:00:00+00:00,3019.935,3016.20457,3016.20457,3026.15238,0.23,-85.8,-0.993,0.61,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 69.0",ranging,london,sl_hit,3,0.92,-107.41,8556.26
110,XAUUSD,buy,2025-03-25T06:15:00+00:00,2025-03-25T07:30:00+00:00,3016.445,3012.71726,3012.71726,3022.6579,0.22,-82.01,-0.958,0.55,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 56.2",ranging,london,sl_hit,5,40.92,-88.44,8474.25
111,XAUUSD,buy,2025-03-25T08:30:00+00:00,2025-03-25T12:15:00+00:00,3019.895,3015.32486,3015.32486,3027.5119,0.18,-82.26,-0.971,0.58,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 61.1",ranging,london,sl_hit,15,115.38,-107.23,8391.98
112,XAUUSD,buy,2025-03-25T12:30:00+00:00,2025-03-25T13:30:00+00:00,3018.488,3026.36634,3013.76099,3026.36634,0.17,133.93,1.596,0.62,Pullback to EMA21 in uptrend · RSI 48.1,trending_up,london,tp_hit,4,203.78,-4.76,8525.91
113,XAUUSD,buy,2025-03-25T13:45:00+00:00,2025-03-25T15:00:00+00:00,3028.005,3022.48837,3022.48837,3037.19938,0.15,-82.75,-0.971,0.64,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 65.0",trending_up,london,sl_hit,5,118.5,-107.8,8443.16
114,XAUUSD,buy,2025-03-25T15:30:00+00:00,2025-03-26T04:00:00+00:00,3022.975,3016.03187,3016.03187,3034.54688,0.12,-83.32,-0.987,0.62,Pullback to EMA21 in uptrend · RSI 50.0,trending_up,london,sl_hit,46,47.76,-86.6,8359.85
115,XAUUSD,sell,2025-03-26T04:15:00+00:00,2025-03-26T05:30:00+00:00,3015.405,3018.91601,3018.91601,3009.55331,0.23,-80.75,-0.966,0.6,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 34.8",ranging,london,sl_hit,5,54.21,-87.86,8279.09
116,XAUUSD,buy,2025-03-26T06:30:00+00:00,2025-03-26T08:00:00+00:00,3024.745,3030.99414,3020.99551,3030.99414,0.22,137.48,1.661,0.76,EMA(21)↑55 cross · RSI 63.7 · regime ranging,ranging,london,tp_hit,6,158.4,-3.74,8416.58
117,XAUUSD,buy,2025-03-26T08:15:00+00:00,2025-03-26T08:45:00+00:00,3027.455,3023.73451,3023.73451,3033.65582,0.22,-81.85,-0.972,0.63,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 62.4",trending_up,london,sl_hit,2,8.65,-88.44,8334.72
118,XAUUSD,buy,2025-03-26T11:00:00+00:00,2025-03-26T13:15:00+00:00,3026.075,3021.78071,3021.78071,3033.23216,0.19,-81.59,-0.979,0.57,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 59.1",ranging,london,sl_hit,9,79.99,-90.44,8253.13
119,XAUUSD,sell,2025-03-26T14:30:00+00:00,2025-03-27T00:00:00+00:00,3019.245,3024.8381,3024.8381,3009.92317,0.14,-78.3,-0.949,0.69,EMA(21)↓55 cross · RSI 43.5 · regime ranging,ranging,london,sl_hit,34,99.68,-79.94,8174.83
120,XAUUSD,buy,2025-03-27T00:30:00+00:00,2025-03-27T02:30:00+00:00,3022.948,3028.89865,3019.37761,3028.89865,0.22,130.91,1.601,0.74,EMA(21)↑55 cross · RSI 61.9 · regime ranging,ranging,london,tp_hit,8,214.21,-5.5,8305.74
121,XAUUSD,buy,2025-03-27T02:45:00+00:00,2025-03-27T04:30:00+00:00,3031.445,3038.28518,3027.34089,3038.28518,0.2,136.8,1.647,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 73.1",trending_up,london,tp_hit,7,141.0,-40.2,8442.55
122,XAUUSD,buy,2025-03-27T04:45:00+00:00,2025-03-27T05:45:00+00:00,3033.915,3029.70352,3029.70352,3040.93413,0.2,-84.23,-0.998,0.66,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 67.3",trending_up,london,sl_hit,4,36.0,-96.34,8358.32
123,XAUUSD,buy,2025-03-27T06:00:00+00:00,2025-03-27T09:00:00+00:00,3030.005,3037.98287,3025.21828,3037.98287,0.17,135.62,1.623,0.62,Pullback to EMA21 in uptrend · RSI 52.5,trending_up,london,tp_hit,12,140.25,-58.99,8493.94
124,XAUUSD,buy,2025-03-27T09:15:00+00:00,2025-03-27T10:00:00+00:00,3035.665,3043.59692,3030.90585,3043.59692,0.17,134.84,1.588,0.62,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 59.7",trending_up,london,tp_hit,3,184.62,-20.52,8628.78
125,XAUUSD,buy,2025-03-27T10:15:00+00:00,2025-03-27T13:00:00+00:00,3051.975,3046.19915,3046.19915,3061.60142,0.14,-80.86,-0.937,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 80.0",trending_up,london,sl_hit,11,53.62,-100.9,8547.92
126,XAUUSD,buy,2025-03-27T14:15:00+00:00,2025-03-28T01:00:00+00:00,3050.545,3063.53357,3042.75186,3063.53357,0.1,129.89,1.52,0.62,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 59.2",trending_up,london,tp_hit,39,154.93,-30.9,8677.81
127,XAUUSD,buy,2025-03-28T01:15:00+00:00,2025-03-28T01:45:00+00:00,3065.565,3072.46103,3061.42738,3072.46103,0.2,137.92,1.589,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 74.0",trending_up,london,tp_hit,2,165.0,-1.0,8815.73
128,XAUUSD,buy,2025-03-28T02:00:00+00:00,2025-03-28T05:45:00+00:00,3073.625,3081.5176,3068.88944,3081.5176,0.18,142.07,1.612,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 82.3",trending_up,london,tp_hit,15,147.24,-75.19,8957.8
129,XAUUSD,buy,2025-03-28T06:00:00+00:00,2025-03-28T08:00:00+00:00,3080.255,3075.18611,3075.18611,3088.70315,0.17,-86.17,-0.962,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 73.1",trending_up,london,sl_hit,8,95.03,-113.17,8871.62
130,XAUUSD,buy,2025-03-28T09:15:00+00:00,2025-03-28T10:15:00+00:00,3073.655,3067.56552,3067.56552,3083.80413,0.14,-85.25,-0.961,0.62,Pullback to EMA21 in uptrend · RSI 49.6,trending_up,london,sl_hit,4,32.62,-91.0,8786.37
131,XAUUSD,buy,2025-03-28T10:30:00+00:00,2025-03-28T13:45:00+00:00,3073.505,3083.78798,3067.33521,3083.78798,0.14,143.96,1.638,0.62,Pullback to EMA21 in uptrend · RSI 50.0,trending_up,london,tp_hit,13,147.0,-40.74,8930.33
132,XAUUSD,buy,2025-03-28T14:00:00+00:00,2025-03-28T14:30:00+00:00,3080.248,3072.44976,3072.44976,3093.24507,0.11,-85.78,-0.961,0.6,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 56.5",trending_up,london,sl_hit,2,41.8,-136.21,8844.55
133,XAUUSD,buy,2025-03-28T15:00:00+00:00,2025-03-30T22:00:00+00:00,3074.695,3089.58206,3065.76277,3089.58206,0.09,133.98,1.515,0.62,Pullback to EMA21 in uptrend · RSI 49.0,trending_up,london,tp_hit,24,207.18,-11.97,8978.54
134,XAUUSD,buy,2025-03-30T22:15:00+00:00,2025-03-31T00:15:00+00:00,3088.998,3082.71168,3082.71168,3099.47519,0.14,-88.01,-0.98,0.64,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 64.6",trending_up,london,sl_hit,8,23.8,-92.16,8890.53
135,XAUUSD,buy,2025-03-31T01:30:00+00:00,2025-03-31T02:15:00+00:00,3091.785,3103.48639,3084.76417,3103.48639,0.12,140.42,1.579,0.63,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 62.0",trending_up,london,tp_hit,3,178.2,-22.08,9030.94
136,XAUUSD,buy,2025-03-31T02:30:00+00:00,2025-03-31T05:45:00+00:00,3103.748,3117.42093,3095.54424,3117.42093,0.11,150.4,1.665,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 73.8",trending_up,london,tp_hit,13,175.53,-50.74,9181.35
137,XAUUSD,buy,2025-03-31T06:00:00+00:00,2025-03-31T06:30:00+00:00,3124.495,3115.96181,3115.96181,3138.71699,0.1,-85.33,-0.929,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 81.1",trending_up,london,sl_hit,2,3.03,-96.47,9096.01
138,XAUUSD,buy,2025-03-31T06:45:00+00:00,2025-03-31T13:30:00+00:00,3119.005,3110.21678,3110.21678,3133.65203,0.1,-87.88,-0.966,0.65,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 66.3",trending_up,london,sl_hit,27,79.8,-155.5,9008.13
139,XAUUSD,buy,2025-03-31T14:00:00+00:00,2025-04-01T00:00:00+00:00,3114.915,3122.735,3105.14655,3131.19575,0.09,70.38,0.781,0.62,Pullback to EMA21 in uptrend · RSI 47.9,trending_up,london,timeout,36,109.53,-37.8,9078.51
